,ID,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,1,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-04-05,74,0.878,0.619
1,1,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-03-14,93,0.908,0.517
2,1,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,95,0.708,0.418
3,1,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,98,0.76,0.479
4,1,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,2019-03-29,89,0.85,0.353
5,1,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
6,1,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2018-12-21,93,0.581,0.662
7,1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
8,1,Khalid,6LuN9FCkKOj5PcnpouEgny,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,2019-04-05,75,0.729,0.545
9,1,Khalid,6LuN9FCkKOj5PcnpouEgny,My Bad,2XKFnwB6djxrJCjR3PdeRb,2019-04-05,70,0.577,0.578
10,1,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
11,1,Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,94,0.889,0.496
12,1,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,96,0.837,0.364
13,1,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4SSnFejRGlZikf02HLewEF,2019-03-29,89,0.888,0.395
14,1,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,6TqXcAFInzjp0bODyvrWEq,2019-04-05,69,0.901,0.4
15,1,Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,2018-10-18,87,0.596,0.552
16,1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.554
