,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,94,0.708,0.418
1,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,2019-03-29,87,0.85,0.353
2,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
3,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4SSnFejRGlZikf02HLewEF,2019-03-29,86,0.888,0.395
4,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
5,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,98,0.76,0.479
6,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-03-29,86,0.454,0.111
7,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,0rTV5WefWd1J3OwIheTzxM,2019-02-07,95,0.9,0.4
8,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-03-14,92,0.908,0.517
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,2019-03-29,88,0.741,0.447
10,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,3 Nights,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,84,0.815,0.518
11,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,92,0.791,0.565
12,Khalid,6LuN9FCkKOj5PcnpouEgny,My Bad,1DUSuNhF8P5vUGNPpQiZa5,2019-03-07,91,0.645,0.568
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
14,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.554
15,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-04-01,80,0.892,0.507
16,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,95,0.599,0.733
17,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,xanny,4QIo4oxwzzafcBWkKjDpXY,2019-03-29,88,0.512,0.128
18,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,my strange addiction,3Tc57t9l2O8FwQZtQOvPXK,2019-03-29,87,0.938,0.311
19,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,97,0.741,0.52
20,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,2019-03-29,86,0.672,0.552
21,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,96,0.752,0.488
22,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,2018-12-07,83,0.632,0.686
23,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,2019-02-07,92,0.51,0.835
24,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2018-12-21,93,0.581,0.662
25,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,96,0.572,0.385
