,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,2019-03-07,76,0.632,0.398
1,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,Vou Ter Que Superar - Ao Vivo,6sRLrSetyIwIKhW1eMlUNP,2019-03-22,77,0.505,0.721
2,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,Cem Mil - Ao Vivo,5eMmT4Ava5BGThju0AD8vQ,2018-10-26,82,0.901,0.819
3,Tropkillaz,5bzWtCkjIAMgN93gLt56SO,Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,2019-02-22,87,0.834,0.777
4,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,2019-02-22,82,0.603,0.804
5,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,2018-09-14,82,0.608,0.729
6,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,2018-09-20,83,0.676,0.844
7,João Gustavo e Murilo,6xerOqBLmelL3xZNZkVbGl,Lençol Dobrado,5pRGXCDY0eT6R1QicAn7Uk,2018-12-21,77,0.707,0.664
8,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,2018-12-07,81,0.493,0.832
9,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,2019-02-22,80,0.663,0.884
10,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,2019-01-11,84,0.872,0.971
11,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,Quem Me Dera,2lAyctg5FocS67eksHoyIg,2018-12-12,69,0.815,0.723
12,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,2019-01-11,80,0.757,0.687
13,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,96,0.572,0.385
14,Ludmilla,3CDoRporvSjdzTrm99a3gi,Favela chegou - Ao vivo,2caDAj0O4uD8OlJ8bap9nz,2019-02-27,80,0.606,0.877
15,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,2018-12-07,83,0.848,0.933
16,Lauana Prado,6TYimByryGphZCtwYopH0y,Cobaia,1xyVMQx51Kab6eLVtE6twx,2018-06-08,67,0.751,0.709
17,Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,2018-10-17,82,0.65,0.361
18,Alok,0NGAZxHanS9e0iNHpR8f2W,All The Lies,6PqUdUGS4h5aGY7YyEGXr8,2019-03-15,77,0.611,0.835
19,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Notificação Preferida - Ao Vivo,2qkNnJvQvhLiZ63X1L3eFz,2018-05-18,78,0.398,0.838
