,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,PNL,3NH8t45zOTqzlZgBvZRjvB,Au DD,6VSaNvPPagk4U5Skxp6XfV,2019-03-22,87,0.777,0.698
1,Ninho,6Te49r3A6f5BiIgBRxH7FH,Maman ne le sait pas (feat. Niska),5c2HadbVTsMKjja4gohEFI,2019-03-22,82,0.755,0.875
2,Ninho,6Te49r3A6f5BiIgBRxH7FH,La vie qu'on mène,0Jh6iWjna1wk5le0Ahn7No,2019-03-22,80,0.8,0.756
3,Ninho,6Te49r3A6f5BiIgBRxH7FH,Goutte d’eau,0rQbvQpjQ6QeeCAnVRzokf,2019-03-22,79,0.683,0.693
4,Ninho,6Te49r3A6f5BiIgBRxH7FH,Putana,5oePa8PlOTPAlRaGs2OZ3A,2019-03-22,80,0.717,0.774
5,Ninho,6Te49r3A6f5BiIgBRxH7FH,Paris c'est magique,5gNZjp6r2TfC3uh9iopWxt,2019-03-22,77,0.701,0.731
6,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,Khapta,6stxV2bl7xSiPUornxwyNR,2019-01-25,81,0.811,0.692
7,Ninho,6Te49r3A6f5BiIgBRxH7FH,Jeune Lossa,1AaJX4YEeklJyRYisD10JT,2019-03-22,77,0.746,0.566
8,Ninho,6Te49r3A6f5BiIgBRxH7FH,Jusqu'à minuit (feat. JuL),4DwppHaJ76CJ0GYOFwrQoJ,2019-03-22,77,0.772,0.643
9,Ninho,6Te49r3A6f5BiIgBRxH7FH,Sans peine,4smLSyGtyNJLPb9J1Iuwsb,2019-03-22,77,0.789,0.657
10,Ninho,6Te49r3A6f5BiIgBRxH7FH,Jamais (feat. Dadju),6nIr35G9lVYMcuedV4NY2t,2019-03-22,77,0.596,0.709
11,Djadja & Dinaz,5hREZP0zTQbTLkZ2M8RS4v,Possédé,6g8Waa9vcFQP1FElldjfRr,2019-03-22,72,0.73,0.587
