,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,2019-03-22,86,0.838,0.549
1,Shindy,5j21TGkrNEAJe3gG9VlS34,Affalterbach,1L8LtC2s161XwY6YrtnQjw,2019-03-26,81,0.819,0.674
2,Eno,3GBBxBdoolb0B5YizZq9bF,Blackberry Sky,4cawYWrqMRz0T0hOIVxk6j,2019-03-22,83,0.805,0.625
3,MERO,5wyWp867LWGjFmYZXVSFnZ,Wolke 10,200cTjC6si5Xz9af2QeHi2,2019-03-15,77,0.77,0.797
4,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Puerto Rico,0ypCvaP431mEM6znlVHNRP,2019-03-22,82,0.687,0.766
5,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Wir ticken,1mdJ39D1lrR3aWIOhgeNaE,2019-03-15,85,0.63,0.692
6,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,94,0.708,0.418
7,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Pass auf wen du liebst,5NsCv3I7o0f6vSQScG01f1,2019-03-17,84,0.592,0.572
8,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Alleen,3UDsmMZsEMsvM82OcdqJWu,2019-03-15,83,0.732,0.746
9,Bausa,13bDjug9N0pyv3ZUINjkDV,Mary,6BZhkqUtaFJm57Hm5TTQSH,2019-03-29,74,0.652,0.702
10,Luciano,3CJKkU0XuElRT1z8rEtIYg,Ya Salame,0EDSU9JYeKABA14OcOuM7b,2019-03-22,81,0.714,0.817
11,Rammstein,6wWVKhxIU2cEi0K81v7HvP,DEUTSCHLAND,1T8IRUJBga0JXioJZvxjBR,2019-03-28,81,0.515,0.906
12,Shirin David,0JBdTCGs111JKKYfLqOEBa,Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,2019-02-15,83,0.928,0.402
13,MERO,5wyWp867LWGjFmYZXVSFnZ,Jay Jay,3YxCKq3YPnTekAofhaHABZ,2019-03-15,81,0.712,0.619
14,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,4BD9yUEFI07WaDJ381DDMq,2019-02-15,83,0.828,0.686
15,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-01-24,100,0.737,0.86
16,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,2019-01-25,83,0.732,0.583
17,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-01-18,94,0.674,0.881
18,LX,10XY9PZCJKzUFzZOdtlQLU,Super Lemon Haze,2Y6m0Qh5HvO3rikg7dlCav,2019-03-29,73,0.724,0.775
19,Gaullin,1aQwKFn00nswXRDUDipm0K,Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2018-09-07,85,0.813,0.761
20,KALIM,2NJWI8byqTSqDaJRnqJY2z,bis um 3,03SfDYmOPflD23iTL5qjiq,2019-03-29,69,0.842,0.652
21,C ARMA,1wLLRA70itxEltujaQlLiT,Yapma,1194zYf7UfSXP4omxVTmPa,2018-12-21,78,0.771,0.711
22,MERO,5wyWp867LWGjFmYZXVSFnZ,Hobby Hobby,0dmrz4V5kiezQAqQ3VqGob,2019-03-15,72,0.743,0.742
23,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-03-14,92,0.908,0.517
24,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
25,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Capital Bra je m'appelle,6VMAFT0zfide2Jg8MVZAPz,2019-02-22,81,0.626,0.768
26,Juju,4sg4no0TXdsrM1s4SVUwNF,Hardcore High,6eTCxwf1n7XZLucLtFn0Fo,2019-03-22,75,0.747,0.718
27,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Benzema,7KPGeiXWDsGEvFK62wzU8E,2018-12-21,81,0.783,0.692
28,MERO,5wyWp867LWGjFmYZXVSFnZ,Baller los,1uNzKXVNwq7jwV0rhjXqLB,2019-03-15,72,0.636,0.593
29,Eno,3GBBxBdoolb0B5YizZq9bF,Ferrari,4AgK0CwpwcekXVdAoYB2VO,2019-02-08,82,0.73,0.725
30,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
31,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
32,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,JAJA,5z3vuYzS9UF6rD6TmBEdUf,2019-01-11,79,0.787,0.839
33,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4SSnFejRGlZikf02HLewEF,2019-03-29,86,0.888,0.395
34,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Bad Liar,2RSHsoi04658QL5xgQVov3,2018-11-09,90,0.383,0.637
35,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,90,0.791,0.587
36,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
37,SDP,1EfwyuCzDQpCslZc8C9gkG,Viva la Dealer,2vuFdbSOLje3khV4rLSEpm,2019-03-01,76,0.795,0.806
38,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,4UOXo3xWnxYdTf3sFyRaUG,2018-10-05,79,0.805,0.924
39,Kay One,6VjbeCqoayiHYnefrisskv,Bentley,44g9PSXJctIwkIoyoYIRRV,2019-03-29,69,0.798,0.592
40,Azet,39KEQQAG9JhIt71g9NEVhh,Fragen,3gs4lX2JSAFc8v8piogE3i,2019-03-08,69,0.839,0.733
41,Nimo,3ZuBEj9ppJe8GSdKaMTfMN,Dunkel,7oucWf5O0GQOdUWTAIGP9u,2019-03-22,74,0.474,0.7
42,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2018-11-16,94,0.652,0.557
43,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,2x,2pu5rVWy3zPlgypJzL3Mlw,2018-10-19,76,0.845,0.509
44,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,2019-02-08,70,0.654,0.836
45,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,95,0.599,0.733
46,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2018-06-22,94,0.579,0.904
47,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,2019-03-29,87,0.85,0.353
48,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,92,0.791,0.565
49,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,2018-11-16,88,0.574,0.728
