,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Aimyon,5kVZa4lFUmAQlBogl1fkd6,マリーゴールド,2cKiHG16JBiqHdi7Llq0r7,2019-02-13,67,0.545,0.745
1,Aimyon,5kVZa4lFUmAQlBogl1fkd6,君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM,2017-09-12,67,0.524,0.687
2,Aimyon,5kVZa4lFUmAQlBogl1fkd6,今夜このまま,6kKvmT4i0Dercz6f3kftg3,2019-02-13,62,0.441,0.852
3,King Gnu,6wxfx1yhyqjCPYwwxJktR2,Hakujitsu,0mNO3xUzjsI17GXO1DRFCH,2019-02-22,51,0.606,0.901
4,Aimyon,5kVZa4lFUmAQlBogl1fkd6,愛を伝えたいだとか,0N8Xztr4pBHJ7V0moJWhbO,2017-09-12,65,0.673,0.85
5,Aimyon,5kVZa4lFUmAQlBogl1fkd6,ハルノヒ,7GYGVDPbi0zQUBIkuOPAY0,2019-04-03,43,0.591,0.673
6,DAOKO,5Qeyh2XKoITt1mlEVtzazC,打上花火,4IouQaO9GkaHC7AtMErdSa,2017-12-20,65,0.625,0.668
7,Masaki Suda,6n4SsAp5VjvIBg3s9QCcPX,Sayonara Elegy,0QKmcZNAST4GytJYmkN05D,2018-03-21,49,0.466,0.934
8,HY,3x621ItlHMtX7mrJ8QnEjM,366日,22aZD7yaGYfhgCYazL4nbc,2008-04-16,62,0.378,0.426
9,MONGOL800,2zUQjYvy0TevSi4d3PjqQO,小さな恋のうた,7swIKcU4tFRk4iFJpi12Fg,2013-01-23,64,0.403,0.87
10,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,88,0.825,0.652
11,Mr.Children,1qma7XhwZotCAucL7NHVLY,HANABI,77lmDcPPyY6kK907gdgC6i,2008-12-10,63,0.638,0.766
12,back number,6rs1KAoQnFalSqSU4LTh8g,ハッピーエンド,0ssEfLe9aqPhMmLXKqBw6J,2016-12-28,61,0.359,0.648
13,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,94,0.708,0.418
14,Aimyon,5kVZa4lFUmAQlBogl1fkd6,貴方解剖純愛歌〜死ね〜,2H3bOGOE50qEo5wAYoJiwL,2015-08-05,63,0.422,0.918
15,GReeeeN,14T8NkbwXVZgbOvwnuGV89,愛唄,7iXHLtPosbHvglVSJ4rxLq,2007-01-01,62,0.505,0.791
16,AAA,1AyWsgtaIgXbzjJlTx2ZDp,恋音と雨空,46gSY0U7ZZCmd7EuJuo15N,2017-01-18,62,0.625,0.86
17,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,ワタリドリ,0ve9Tpz8Yw0I4eXhWsy21o,2015-06-17,63,0.508,0.964
18,Superfly,5M8AXrOifBT8elkLKbGPQZ,愛をこめて花束を,7CmWXD3w1xOO53AAO4LRVQ,2007-04-04,63,0.37,0.8
19,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Stand Out Fit In,4zXRMjTaeflesB3Ih4eHnJ,2019-02-15,63,0.615,0.841
20,Sukima Switch,0wRzWf3I4lUl9hdFF5uL0m,奏(かなで),5RbMlPFL4gVyEHW2lEOuzG,2004-06-23,62,0.519,0.666
21,back number,6rs1KAoQnFalSqSU4LTh8g,クリスマスソング,5P8ZvBQoCrujjNcLAxO3Su,2015-12-09,59,0.404,0.705
22,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,92,0.791,0.565
23,DA PUMP,3NRXKeatDxKe4apH6XawKX,U.S.A.,5HXCP7b8k64WdZ1G0Bbc13,2018-12-12,58,0.71,0.988
24,back number,6rs1KAoQnFalSqSU4LTh8g,高嶺の花子さん,2jdbZGFp8KVTuk0YxDNL4l,2014-03-26,53,0.54,0.923
25,Aimyon,5kVZa4lFUmAQlBogl1fkd6,満月の夜なら,7DW5Dro8AHE7x19COl26E3,2019-02-13,61,0.547,0.949
26,Nissy,4L9VSeE7K3BTBndqEL9A6q,トリコ,7H5uStZMOGpcVw7eW0eyTi,2019-02-04,58,0.63,0.8
27,Motohiro Hata,706WzkJEacBrtkHKRpBU2q,鱗(うろこ),4IubwxgmXeZtDtYjTaT9gN,2007-09-26,61,0.442,0.748
28,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Wherever you are,0YAMQSmHk6BSUGTYpaoqTJ,2010-06-09,61,0.379,0.69
29,Aimyon,5kVZa4lFUmAQlBogl1fkd6,生きていたんだよな,69jrtjVjyzRyPCDg0dHYCX,2017-09-12,61,0.601,0.901
30,AI,0aD7NQx7yauKlVDnqOxk6q,Story,0V2axJ946WH1vt9t5SGMLV,2006-09-27,61,0.586,0.632
31,Aimyon,5kVZa4lFUmAQlBogl1fkd6,ら、のはなし,2tgWF9EZzqiq4Qzdzeow1A,2019-02-13,62,0.568,0.802
32,SPITZ,5kjGRHClVacSyllOUqU1S0,チェリー,5Tj1wsJ6wE3Mf1MD0uKGnu,2006-03-25,59,0.652,0.806
33,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
34,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
35,Shota Shimizu,2ZjWbNQAjL74Pf4aqikIz2,My Boo,2gasr6aemUqZIBBN05EO03,2017-06-30,41,0.719,0.718
36,IZ*ONE,5r1tUTxVSgvBHnoDuDODPH,Violeta,0ahbzg4GCq3wJzUM3cjS3N,2019-04-01,67,0.715,0.88
37,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,97,0.741,0.52
38,GReeeeN,14T8NkbwXVZgbOvwnuGV89,キセキ,7ztdl6cnbJgHRdMkKldkts,2008-01-01,61,0.641,0.618
39,Sakanaction,0hCWVMGGQnRVfDgmhwLIxq,新宝島,6ODZT1FGTE2q4two05giS1,2018-03-28,58,0.557,0.917
40,MISIA,3uyDATzOGjbGCts7v2eszk,Ainokatachi (feat. HIDE (GReeeeN)),76flsS3UnNr7UQIz6JmVT3,2016,45,0.379,0.653
41,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
42,TWICE,7n2Ycct7Beij7Dj7meI4X0,YES or YES,184XtKkzoAl83quIarUAJP,2018-11-05,61,0.702,0.913
43,Ketsumeishi,4FyAgiZa3q0eeljDvcOXFh,さくら,5rfUCmoI7axj6mjpu1Rto5,2005-06-29,58,0.713,0.838
44,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,96,0.687,0.792
45,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Change,0BOHIMI5EvhGuZSkWLwxIP,2019-02-15,55,0.493,0.729
46,HY,3x621ItlHMtX7mrJ8QnEjM,NAO,2PeCrMLUayMPZnLZPkJxOJ,2006-04-12,60,0.561,0.422
47,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,In the Stars (feat. Kiiara),3VESewT7ERH2wtE5OyuKWH,2019-02-13,61,0.597,0.785
48,Ryota Fujimaki,7r3FkquAY1tv1roZs3unJ1,3月9日,2U0RKuknHTQPIuKw2gDTHI,2017-03-01,59,0.487,0.422
49,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Wasted Nights,39LyUQIy7idLxPdsjyZsxe,2019-02-15,61,0.556,0.833
